범죄대분류,범죄중분류,서울종로구,서울중구,서울용산구,서울성동구,서울광진구,서울동대문구,서울중랑구,서울성북구,서울강북구,서울도봉구,서울노원구,서울은평구,서울서대문구,서울마포구,서울양천구,서울강서구,서울구로구,서울금천구,서울영등포구,서울동작구,서울관악구,서울서초구,서울강남구,서울송파구,서울강동구
강력범죄,살인기수,2,0,1,1,0,2,4,1,2,2,3,2,0,2,3,0,0,1,6,0,3,1,2,2,1
강력범죄,살인미수등,1,3,2,1,2,3,2,0,5,5,4,5,5,1,2,1,12,3,6,3,14,6,12,6,3
강력범죄,강도,5,6,3,2,5,4,2,1,1,4,3,3,0,4,2,6,7,5,9,3,10,9,19,9,5
강력범죄,강간,25,30,45,22,42,36,40,25,21,10,41,30,46,88,32,77,34,25,51,18,78,55,181,64,34
강력범죄,유사강간,10,4,4,6,9,5,9,7,9,4,2,7,12,12,5,12,7,5,12,2,20,9,38,7,6
강력범죄,강제추행,204,182,195,92,188,107,118,105,108,74,110,112,97,354,74,203,150,93,245,176,220,340,464,233,99
강력범죄,기타 강간 강제추행등,0,0,0,0,0,1,0,2,1,0,1,1,1,1,0,2,0,2,0,0,3,2,2,1,0
강력범죄,방화,4,13,16,4,5,11,4,7,4,9,14,10,4,9,5,14,11,6,9,9,13,10,12,11,7
절도범죄,절도범죄,1173,1523,971,891,1619,1278,1400,982,917,997,1629,1612,1190,1479,1411,1790,1627,980,1856,1191,2005,1941,2480,2419,1676
폭력범죄,상해,127,127,107,79,111,101,121,74,107,72,81,118,74,154,89,125,121,80,172,100,135,106,262,125,102
폭력범죄,폭행,905,1001,1018,548,842,839,913,731,817,467,1076,920,495,1157,790,1278,1092,606,1247,683,1341,1249,2065,1431,893
폭력범죄,체포감금,6,8,7,4,4,11,5,5,4,4,5,5,1,10,10,12,5,10,9,8,10,16,26,6,9
폭력범죄,협박,116,131,140,114,137,170,200,131,134,74,198,170,114,163,173,256,213,155,218,130,237,220,366,269,149
폭력범죄,약취 유인,2,4,0,3,1,4,4,0,3,2,4,2,1,1,3,4,4,2,2,2,4,6,5,4,0
폭력범죄,폭력행위등,32,40,35,12,44,29,36,30,55,19,28,37,32,52,39,68,48,32,71,17,74,52,83,45,34
폭력범죄,공갈,37,24,50,34,45,53,39,43,62,29,35,34,68,46,23,63,47,21,33,55,49,88,107,104,33
폭력범죄,손괴,332,286,415,211,375,317,428,268,252,160,336,425,241,329,363,372,373,210,475,275,540,419,651,494,348
지능범죄,사기,2032,2094,1643,1829,2075,2074,2003,2209,1739,1291,2025,2478,1518,1801,1647,2886,2087,1846,3021,1712,4204,4066,8077,3757,2129
풍속범죄,성풍속범죄,123,108,127,131,173,140,122,173,122,95,205,159,110,290,131,262,137,85,195,159,315,223,414,252,155
풍속범죄,도박범죄,19,21,10,21,31,19,36,20,24,12,25,23,14,25,16,52,33,18,41,10,41,19,74,29,31
마약범죄,마약범죄,100,73,200,95,100,102,86,78,93,68,92,59,52,273,50,135,155,61,151,64,175,252,972,160,76
보건범죄,보건범죄,119,108,102,29,53,94,56,49,58,32,70,63,34,262,44,113,63,48,113,59,83,257,689,200,52
교통범죄,교통범죄,657,652,1076,935,850,1478,1169,895,926,468,1044,1003,692,1565,858,1290,1056,801,1626,1523,1152,2093,2989,2193,1045
노동범죄,노동범죄,4,3,4,3,1,1,1,1,2,0,3,0,3,1,0,2,2,2,2,4,0,7,18,4,0
기타범죄,기타범죄,1650,1612,1817,1283,1556,1454,1715,1409,1787,993,1862,1555,1115,2380,1727,2456,1683,1236,2315,1692,2808,3338,5016,3082,1617
